ストーリーID,シーン番号,出力ファイル名,本文（入力）,状態,テーマ,テロップ種類,テキスト位置,フォント,文字色,フチ色,フチ太さ
TTK_20260210_002,1,TTK_20260210_002_01.png,飛ばさなければ、止まっていた2人の時間は少しずつ動き始めます。,待機中,clean,標準,中央,標準,#FFFFFF,#121212,1.2
TTK_20260210_002,2,TTK_20260210_002_02.png,あの人はずっと、あなたに連絡するか悩み続けていました。,待機中,clean,標準,中央,標準,#FFFFFF,#121212,1.2
TTK_20260210_002,3,TTK_20260210_002_03.png,ここでスキップすると、その想いは静かに遠ざかっていくと言われています。,待機中,clean,標準,中央,標準,#FFFFFF,#121212,1.2
TTK_20260210_002,4,TTK_20260210_002_04.png,逆に最後まで見届けた人には、告白を決める瞬間が近づきます。,待機中,clean,標準,中央,標準,#FFFFFF,#121212,1.2
TTK_20260210_002,5,TTK_20260210_002_05.png,この音源には、特別な復縁の願いを込めました。,待機中,clean,標準,中央,標準,#FFFFFF,#121212,1.2
TTK_20260210_002,6,TTK_20260210_002_06.png,非公開の設定でも大丈夫です。20分以内の使用が目安です。,待機中,clean,標準,中央,標準,#FFFFFF,#121212,1.2
TTK_20260210_002,7,TTK_20260210_002_07.png,右下の音楽アイコンから「楽曲を使う」を選んでください。,待機中,clean,標準,中央,標準,#FFFFFF,#121212,1.2
TTK_20260210_002,8,TTK_20260210_002_08.png,公開範囲は「自分のみ」にすると、準備は完了です。,待機中,clean,標準,中央,標準,#FFFFFF,#121212,1.2
TTK_20260210_002,9,TTK_20260210_002_09.png,それだけで、会いたい気持ちが強まる空気を整えられます。,待機中,clean,標準,中央,標準,#FFFFFF,#121212,1.2
TTK_20260210_002,10,TTK_20260210_002_10.png,さらに共有からLINEを開き、9番目に出る人を確認してください。,待機中,clean,標準,中央,標準,#FFFFFF,#121212,1.2
TTK_20260210_002,11,TTK_20260210_002_11.png,手順を途中で迷わないよう、ここでフォローして次を受け取ってください。,待機中,clean,標準,中央,標準,#FFFFFF,#121212,1.2
TTK_20260210_002,12,TTK_20260210_002_12.png,「いいね」と「保存」を押すと、体感で約120倍ほど空気が安定しやすくなります。,待機中,clean,標準,中央,標準,#FFFFFF,#121212,1.2
TTK_20260210_002,13,TTK_20260210_002_13.png,コメント欄には、あなたの願いを具体的に書いてください。,待機中,clean,標準,中央,標準,#FFFFFF,#121212,1.2
TTK_20260210_002,14,TTK_20260210_002_14.png,その思いは見えない後押しとなり、好きな人の心へ届いていきます。,待機中,clean,標準,中央,標準,#FFFFFF,#121212,1.2
TTK_20260210_002,15,TTK_20260210_002_15.png,他の人の願いにも、いいねで応援を送ってみてください。,待機中,clean,標準,中央,標準,#FFFFFF,#121212,1.2
TTK_20260210_002,16,TTK_20260210_002_16.png,誰かの幸せを願える一言は、自分の幸せを呼び戻す力になります。,待機中,clean,標準,中央,標準,#FFFFFF,#121212,1.2
TTK_20260210_002,17,TTK_20260210_002_17.png,本気で叶えたい人は、この動画を2回見直してください。,待機中,clean,標準,中央,標準,#FFFFFF,#121212,1.2
TTK_20260210_002,18,TTK_20260210_002_18.png,途中で飛ばしてしまうと、ここまで積み上げた感覚が弱くなります。,待機中,clean,標準,中央,標準,#FFFFFF,#121212,1.2
TTK_20260210_002,19,TTK_20260210_002_19.png,最後の一歩を合わせるため、次の投稿も見られるようフォローしてください。,待機中,clean,標準,中央,標準,#FFFFFF,#121212,1.2
TTK_20260210_002,20,TTK_20260210_002_20.png,次はあなたの番です。行動した人から、欲しかった未来に近づきます。,待機中,clean,標準,中央,標準,#FFFFFF,#121212,1.2
